name,role,type,demographic,description,units,missing_values
Administrative,Feature,Integer,,,,no
Administrative_Duration,Feature,Integer,,,,no
Informational,Feature,Integer,,,,no
Informational_Duration,Feature,Integer,,,,no
ProductRelated,Feature,Integer,,,,no
ProductRelated_Duration,Feature,Continuous,,,,no
BounceRates,Feature,Continuous,,,,no
ExitRates,Feature,Continuous,,,,no
PageValues,Feature,Integer,,,,no
SpecialDay,Feature,Integer,,,,no
Month,Feature,Categorical,,,,no
OperatingSystems,Feature,Integer,,,,no
Browser,Feature,Integer,,,,no
Region,Feature,Integer,,,,no
TrafficType,Feature,Integer,,,,no
VisitorType,Feature,Categorical,,,,no
Weekend,Feature,Binary,,,,no
Revenue,Target,Binary,,,,no
